finn_kode,tittel,pris,storrelse_kvm,pris_per_kvm,boligtype,kommune,lenke
450271955,Moss/Sentrum - Stor 4-roms toppleilighet med to terrasser | 2 bad | Nær sjø og by | Pendlervennlig | Salg av kontraktposisjon,13790000.0,128.0,107734.0,Leilighet,Moss,https://www.finn.nohttps://www.finn.no/realestate/homes/ad.html?finnkode=450271955
446028190,Sjøhagen - Lys og moderne bolig fra 2022 over tre plan| Beliggenhet ved Mossesundet! | Tilbaketrukket beliggenhet | Kort vei til to,7100000.0,144.0,49306.0,Rekkehus,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=446028190
450822461,"Ørejordet - Lys og moderne 2-roms med solrik terrasse, garasje m/lader og lekkert bad og kjøkken - Vedovn - Sentral beliggenhet",2700000.0,46.0,58696.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450822461
450591905,Enebolig i landlige omgivelser - midt i Rygge. Delikat og påkostet bad - nytt i 2025. Garasje med isolert bod/verksted.,5000000.0,138.0,36232.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450591905
450468862,Arealeffektiv 2-roms med alkove| Balkong og felles takterrasse | Garasje | Sentralt | Perfekt førstegangskjøp!,2950000.0,68.0,43382.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450468862
450632774,"Hoppern, Jeløy - Sjarmerende og påkostet eiendom med generasjonsbolig/utleiedel - Uteplasser på totalt 75 kvm - Perfekt for storfamilien!",8790000.0,197.0,44619.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450632774
433515554,Romslig toppleilighet med panoramautsikt og innglasset balkong - flotte lys og solforhold,2995000.0,95.0,31526.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=433515554
449834407,På Elvebredden møtes natur og byliv i perfekt balanse | Her venter en nyoppført og innbydende 3-roms!,4790000.0,64.0,74844.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449834407
450620218,Framnes - 4 roms leilighet i 1.etasje med flott sjøutsikt!,3490000.0,81.0,43086.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450620218
,"Ny, flott og vertikaldelt tomannsbolig under oppføring med sjøutsikt | 1 av 2 solgt! | Bygging er igangsatt!",9950000.0,200.0,49750.0,Tomannsbolig,Moss,
416095346,Verket Brygge II - Moss |4-roms toppleilighet med sjøutsikt | Vestvendt | 2 bad | 2 p-plasser | 2 terrasser - 1 innglasset,20900000.0,162.0,129012.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=416095346
450569957,"Framnes, Jeløy - Lekker og gjennomført leilighet med påkostede detaljer - trappefri adkomst og 3 soverom. Klar for innflytting. Sjøutsikt",4500000.0,82.0,54878.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450569957
439388201,JELØY / BALAKLAVA - Stor andelsleilighet i 2.etasje + loft - Solrik veranda på 17 kvm og takterrasse på 15 kvm - Parkeringsplass m. ladeboks,2290000.0,80.0,28625.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=439388201
450487769,Tribunen - Lekker og påkostet leilighet fra 2023 med 2 sov - Vestvendt balkong - 3. etasje - Garasjeplass - Heis,5100000.0,76.0,67105.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450487769
450296422,MED SJØEN SOM NÆRMESTE NABO - Enebolig fra 2019 | Sjøutsikt og solrike uteplasser | Dobbelgarasje | EL-bil ladere | Barnevennlig og rolig |,8690000.0,235.0,36979.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450296422
449776872,Sentrum - Bygårdssjarm i hjertet av Moss - 5 min til tog og kort vei til sjøen,2190000.0,45.0,48667.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449776872
441469532,Oppusset 3-roms med god planløsning | Vestvendt balkong med utsikt | Kjøkken og bad fra 2021 | Turområder,3550000.0,73.0,48630.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=441469532
440085577,"3-roms selveierleilighet | Svært sentralt, men rolig | Moderne kjøkken fra 2021 | Mye bolig for pengene",2950000.0,104.0,28365.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=440085577
450302962,"Melløs - Sentralt beliggende 2-roms i 2. etasje - god planløsning, solrik balkong, bod i kjeller og parkering rett utenfor",2250000.0,45.0,50000.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=450302962
442294562,Sentrum - Effektiv 2-roms selveier i 1. etg. med vestvendt balkong. Bad renovert i 2020. Trinnfri adkomst. Eiet parkeringsplass.,2520000.0,44.0,57273.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=442294562
440503541,"Moss sentrum - Ypperlig etableringsmulighet; meget velholdt 2-roms selveier i 2. etg. Garasjeplass. Stor og solrik, felles takaltan.",2520000.0,33.0,76364.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=440503541
449825164,"Moss sentrum - Påkostet 2-roms med meget god internbeliggenhet - Balkong m/sjøgløtt, felles takterrasse, heis og vannbåren varme inkl.",2950000.0,41.0,71951.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449825164
444944645,Sentrum - Romslig og effektiv 1-roms leilighet midt i sentrum- Heis og balkong mot bakgård - 10. min til tog og 100m til buss,990000.0,43.0,23023.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=444944645
374750792,Romslig 3-roms leilighet med enkel adkomst i rolige omgivelser på Ekholt. Over 50 år.,2650000.0,82.0,32317.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=374750792
449819454,Ekholt - Enebolig med solrik tomt - Garasje - Uinnredet kjeller med egen inngang,6000000.0,207.0,28986.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449819454
440072500,Moss/Skarmyra - Lekker 4-roms i øverste etasje | Heis i bygget og p-plass i garasje | Sjarmerende og sentral beliggenhet!,6490000.0,91.0,71319.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=440072500
427691621,"Moss sentrum - Innholdsrik, lys og pen 3-roms selveierleilighet med flott innglasset balkong på 14 kvm og heisadkomst til garasje.",4850000.0,88.0,55114.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=427691621
449637576,"Øreåsen - Lys og moderne 2-roms med skjermet uteplass, solrik terrasse og smart planløsning i rolige Helgedalen",2400000.0,53.0,45283.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449637576
449780921,"Jeløya - Innbydende og velholdt bolig med solrik veranda, moderne bad, gode uteplasser og attraktiv beliggenhet i Moss",3200000.0,66.0,48485.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449780921
436037321,"Moss/Skredderåsen - Stor og innbydende 4-roms med 3 soverom, 2 bad, 2 stuer og 2 solrike balkonger - sjøgløtt og garasjeplass!",2350000.0,100.0,23500.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=436037321
449740316,Fuglevik - Kjedet enebolig m/nydelige uteplasser på totalt 85m² og integrert garasje m/lader - 500m til sandstrand og båthavn,6300000.0,85.0,74118.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449740316
449376732,"Moss/Verket - 2-roms med takhøyde på 3,5 meter|Sydvendt terrasse & hageflekk|1. etasje|""Steinkast"" unna sjøen|Kan gi grønt boliglån!",3990000.0,53.0,75283.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449376732
449677361,"Glassverket - Attraktiv 2-roms endeleilghet m/ vestvendt balkong - Fjordutsikt & gode solforhold - Sentral beliggenhet, heis & garasje",3500000.0,50.0,70000.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449677361
412214616,"Værla/Melløs - Pen øvre halvpart av tomannsbolig - Bad fra 2024 - Vestvendt balkong m/utsikt - Integrert carport - Kort vei til ""alt""!",2750000.0,68.0,40441.0,Tomannsbolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=412214616
449573852,"Halmstad - 3-roms endeleilighet i 1.etasje fra 2016 med sørvest-terrasse, skjermet hage, carport - nær skole, butikk og tog",4200000.0,93.0,45161.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449573852
449510748,"Halmstad - Innholdsrik 3-roms andelsleilighet i 1. etasje | Veranda, peisovn og varmepumpe fra 2021 | Tre boder med rikelig lagring",2500000.0,66.0,37879.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449510748
449538591,Høyda/Ørejordet - Enderekkehus o/to plan med oppussingsbehov - God intern beliggenhet i rolig og sentralt nabolag - Carport og bod.,3100000.0,91.0,34066.0,Rekkehus,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449538591
448651122,Moss - Stilren og sentral 2-roms leilighet | Åpen stue/kjøkken-løsning | Gangavstand til alt av sentrumsfasiliteter,2250000.0,56.0,40179.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=448651122
449392417,"Øre - Svært sentralt beliggende enebolig på stor, flat tomt over ett mål - Behov for oppgraderinger og spennende potensial!",4950000.0,165.0,30000.0,Enebolig,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449392417
449561187,Halmstad - Rekkehusleilighet med sentral beliggenhet - 3 soverom - Enkel standard - Barnevennlig.,2800000.0,117.0,23932.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=449561187
439272047,Moss/Sentrum - Pen 3-roms i 2. etasje | Flislagt bad | God takhøyde | Pendlervennlig | Sentralt med gangavstand til ''alt'',2690000.0,45.0,59778.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=439272047
439252014,Moss/Sentrum - Lys 2(3)-roms i 2. etasje | Smart planløsning | Perfekt førstegangskjøp/utleieobjekt | Gangavstand til ''alt'',2590000.0,46.0,56304.0,Leilighet,Moss,https://www.finn.no/realestate/homes/ad.html?finnkode=439252014
